"CH1_x","CH1_y"
449.75,-0.3780241935,
451.5,0.07560483871,
453.25,-0.3276209677,
455,-0.2268145161,
456.75,-0.07560483871,
458.5,-0.2772177419,
460.25,-0.2772177419,
462,-0.3276209677,
463.75,-0.1764112903,
465.5,-0.4284274194,
467.25,-0.07560483871,
469,-0.0252016129,
470.75,-0.3780241935,
472.5,-0.0252016129,
474.25,-0.3780241935,
476,-0.07560483871,
477.75,-0.1260080645,
479.5,-0.1260080645,
481.25,0.07560483871,
483,-0.1764112903,
484.75,-0.0252016129,
486.5,-0.3276209677,
488.25,-0.2268145161,
490,-0.2268145161,
491.75,-0.1764112903,
493.5,-0.3276209677,
495.25,0.0252016129,
497,-0.2268145161,
498.75,-0.07560483871,
500.5,-0.1764112903,
502.25,0.07560483871,
504,-0.1260080645,
505.75,-0.3276209677,
507.5,-0.1764112903,
509.25,-0.529233871,
511,0.1260080645,
512.75,-0.3276209677,
514.5,-0.07560483871,
516.25,0.0252016129,
518,-0.2268145161,
519.75,-0.1260080645,
521.5,-0.1260080645,
523.25,0.07560483871,
525,-0.1764112903,
526.75,-0.3780241935,
528.5,-0.1764112903,
530.25,-0.2268145161,
532,-0.3276209677,
533.75,-0.1764112903,
535.5,-0.6300403226,
537.25,-0.1764112903,
539,-0.6804435484,
540.75,-0.4284274194,
542.5,-0.529233871,
544.25,-0.0252016129,
546,-0.2268145161,
547.75,-0.6300403226,
549.5,-0.2268145161,
551.25,-0.4284274194,
553,-0.4284274194,
554.75,-0.1260080645,
556.5,-0.4788306452,
558.25,-0.1764112903,
560,-0.4788306452,
561.75,-0.3276209677,
563.5,-0.2772177419,
565.25,-0.07560483871,
567,-0.1260080645,
568.75,-0.07560483871,
570.5,-0.2772177419,
572.25,0.0252016129,
574,-0.07560483871,
575.75,0.0252016129,
577.5,-0.0252016129,
579.25,-0.3276209677,
581,0.07560483871,
582.75,-0.0252016129,
584.5,0.1764112903,
586.25,-0.1260080645,
588,-0.3276209677,
589.75,-0.0252016129,
591.5,-0.07560483871,
593.25,0.0252016129,
595,-0.3780241935,
596.75,-0.2268145161,
598.5,-0.4284274194,
600.25,-0.3276209677,
602,-0.1764112903,
603.75,-0.2268145161,
605.5,-0.0252016129,
607.25,-0.1764112903,
609,-0.1764112903,
610.75,-0.1764112903,
612.5,-0.3780241935,
614.25,-0.3780241935,
616,-0.2268145161,
617.75,-0.3276209677,
619.5,-0.1764112903,
621.25,-0.529233871,
623,-0.2268145161,
624.75,-0.2268145161,
626.5,-0.2268145161,
628.25,-0.1764112903,
630,-0.1764112903,
631.75,-0.07560483871,
633.5,-0.2772177419,
635.25,-0.2268145161,
637,-0.2772177419,
638.75,-0.0252016129,
640.5,-0.2268145161,
642.25,-0.2268145161,
644,-0.2772177419,
645.75,-0.2268145161,
647.5,-0.1260080645,
649.25,-0.1764112903,
651,-0.3276209677,
652.75,-0.07560483871,
654.5,-0.07560483871,
656.25,-0.2772177419,
658,-0.1764112903,
659.75,-0.2772177419,
661.5,-0.1764112903,
663.25,-0.3276209677,
665,-0.2268145161,
666.75,-0.3276209677,
668.5,-0.07560483871,
670.25,-0.2772177419,
672,0.0252016129,
673.75,-0.2772177419,
675.5,-0.2772177419,
677.25,-0.1764112903,
679,0.0252016129,
680.75,-0.4788306452,
682.5,-0.1260080645,
684.25,-0.1764112903,
686,-0.0252016129,
687.75,0.1764112903,
689.5,-0.1764112903,
691.25,-0.1260080645,
693,0.07560483871,
694.75,-0.3780241935,
696.5,-0.1764112903,
698.25,-0.2772177419,
700,-0.3276209677,
701.75,-0.1260080645,
703.5,-0.1260080645,
705.25,-0.1764112903,
707,-0.2772177419,
708.75,-0.3780241935,
710.5,-0.2268145161,
712.25,-0.2772177419,
714,-0.1764112903,
715.75,-0.4284274194,
717.5,-0.4284274194,
719.25,-0.1764112903,
721,-0.3276209677,
722.75,-0.1764112903,
724.5,-0.3780241935,
726.25,-0.3780241935,
728,-0.3780241935,
729.75,-0.0252016129,
731.5,-0.1260080645,
733.25,-0.07560483871,
735,-0.0252016129,
736.75,-0.3276209677,
738.5,-0.1764112903,
740.25,-0.3780241935,
742,-0.2268145161,
743.75,0.07560483871,
745.5,-0.2772177419,
747.25,0.2268145161,
749,-0.1764112903,
750.75,-0.1764112903,
752.5,-0.1260080645,
754.25,0.0252016129,
756,0.07560483871,
757.75,-0.1260080645,
759.5,-0.2268145161,
761.25,-0.07560483871,
763,-0.2772177419,
764.75,-0.07560483871,
766.5,0.0252016129,
768.25,-0.0252016129,
770,-0.07560483871,
771.75,0.1764112903,
773.5,-0.0252016129,
775.25,-0.0252016129,
777,-0.3276209677,
778.75,-0.2772177419,
780.5,-0.1764112903,
782.25,-0.2268145161,
784,-0.1260080645,
785.75,0.1764112903,
787.5,-0.4284274194,
789.25,-0.1260080645,
791,-0.1260080645,
792.75,-0.07560483871,
794.5,-0.2772177419,
796.25,-0.1764112903,
798,-0.1260080645,
799.75,-0.1260080645,
801.5,-0.3276209677,
803.25,-0.2772177419,
805,-0.2772177419,
806.75,-0.07560483871,
808.5,-0.3780241935,
810.25,-0.1764112903,
812,-0.2268145161,
813.75,-0.3276209677,
815.5,-0.529233871,
817.25,-0.2772177419,
819,-0.0252016129,
820.75,-0.1260080645,
822.5,-0.3780241935,
824.25,-0.1260080645,
826,-0.3276209677,
827.75,-0.4788306452,
829.5,-0.5796370968,
831.25,-0.1260080645,
833,-0.2772177419,
834.75,-0.3780241935,
836.5,-0.07560483871,
838.25,-0.2268145161,
840,-0.1260080645,
841.75,-0.3276209677,
843.5,-0.1260080645,
845.25,-0.2268145161,
847,-0.2268145161,
848.75,-0.1764112903,
850.5,-0.5796370968,
852.25,-0.3780241935,
854,-0.2268145161,
855.75,-0.1260080645,
857.5,-0.4284274194,
859.25,-0.4788306452,
861,-0.529233871,
862.75,-0.2772177419,
864.5,-0.5796370968,
866.25,-0.3276209677,
868,-0.4788306452,
869.75,-0.2772177419,
871.5,-0.2772177419,
873.25,-0.3780241935,
875,-0.0252016129,
876.75,-0.2772177419,
878.5,-0.2268145161,
880.25,0.0252016129,
882,-0.1260080645,
883.75,-0.1260080645,
885.5,-0.2268145161,
887.25,-0.2268145161,
889,-0.07560483871,
890.75,-0.2268145161,
892.5,-0.1260080645,
894.25,-0.1764112903,
896,0.0252016129,
897.75,-0.07560483871,
899.5,-0.2268145161,
901.25,-0.4788306452,
903,-0.3780241935,
904.75,-0.2772177419,
906.5,-0.1764112903,
908.25,-0.4788306452,
910,-0.1764112903,
911.75,-0.4788306452,
913.5,-0.2268145161,
915.25,-0.3276209677,
917,-0.2772177419,
918.75,-0.3276209677,
920.5,-0.1260080645,
922.25,-0.2772177419,
924,-0.2772177419,
925.75,0.07560483871,
927.5,-0.2772177419,
929.25,-0.0252016129,
931,-0.2772177419,
932.75,-0.0252016129,
934.5,-0.07560483871,
936.25,-0.3780241935,
938,-0.2772177419,
939.75,-0.3780241935,
941.5,-0.2268145161,
943.25,-0.4284274194,
945,-0.2772177419,
946.75,-0.2772177419,
948.5,-0.0252016129,
950.25,-0.529233871,
952,-0.1764112903,
953.75,-0.4284274194,
955.5,-0.3780241935,
957.25,-0.1260080645,
959,-0.2268145161,
960.75,-0.4788306452,
962.5,-0.2772177419,
964.25,-0.4788306452,
966,-0.3276209677,
967.75,-0.3780241935,
969.5,-0.3780241935,
971.25,-0.2268145161,
973,-0.1260080645,
974.75,-0.2772177419,
976.5,-0.07560483871,
978.25,-0.1260080645,
980,-0.1764112903,
981.75,-0.07560483871,
983.5,-0.1260080645,
985.25,0.0252016129,
987,0.0252016129,
988.75,-0.2268145161,
990.5,0.1260080645,
992.25,-0.07560483871,
994,-0.0252016129,
995.75,-0.0252016129,
997.5,0.07560483871,
999.25,0.1260080645,
